	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	84,0000	460000,0000	44871,0000	2,9914	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Add	Flat	1,2796	1,3452	1,3788	1,3821	1,4660	1,5035	1,6591	2,0438	2,5801	3,4129	6,2809	
	Flat cached	1,3751	1,3578	1,3653	1,3718	1,4413	1,5036	1,6840	2,0627	2,5368	3,4296	6,3409	
	Flat cold	2,1574	2,4058	2,5200	2,8811	4,0375	5,8557	9,8532	20,9509	40,3487	75,3957	191,2673	
	Naive	3,7117	3,8043	3,8407	3,9254	3,9111	3,9714	4,0576	4,1074	4,2040	4,2584	4,3138	
	Pooled	1,0019	1,0260	1,0319	1,0584	1,2254	1,2221	1,5837	2,1532	2,6641	2,7918	2,7973	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Erase	Flat	1,0469	1,1155	1,1469	1,1780	1,3377	1,3738	1,5662	1,9661	2,7255	4,1239	8,3182	
	Flat cached	1,1859	1,1396	1,1870	1,2372	1,3114	1,3832	1,5770	2,0445	2,7842	4,1476	8,4345	
	Flat cold	2,0059	2,2113	2,4102	2,8973	4,2988	6,4235	11,0906	23,9050	48,0138	103,6596	271,7009	
	Naive	3,3895	3,5195	3,7003	4,1023	4,8964	5,2613	6,2538	5,8491	6,7952	6,1859	9,6458	
	Pooled	1,0400	1,1631	1,2404	1,4618	1,7653	1,8840	2,2875	2,1655	2,4839	2,2555	3,7881	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Move	Flat	1,5010	1,6543	1,7753	1,8050	1,8879	1,9220	2,0967	2,4056	2,8602	3,6237	5,9127	
	Flat cached	1,5704	1,7296	1,8247	1,8777	1,9601	2,0224	2,1629	2,4225	2,8526	3,6688	6,0806	
	Flat cold	2,2040	2,5892	2,8338	3,4141	4,8530	7,1682	11,7431	26,0037	53,6090	113,4424	290,9362	
	Naive	2,3842	2,5506	2,6825	2,8220	2,8810	2,9113	2,9403	3,0336	3,0517	3,1221	3,2457	
	Pooled	1,2273	1,2556	1,2896	1,3574	1,4860	1,4994	1,7670	2,2542	2,6672	2,9337	2,9559	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive	1,0044	1,4690	2,1694	3,4904	7,5121	13,1068	25,9583	67,7206	133,1365	237,9454	595,3658	
	Pooled	1,0606	1,5770	2,1654	3,5254	7,4533	13,2100	27,5713	64,9274	125,7160	222,7611	558,2976	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Leaf travel	Flat	0,7895	1,0063	1,1217	1,2762	1,7002	2,1561	3,6818	4,4937	8,4640	15,1395	38,4705	
	Flat cached	0,8027	0,8539	0,8275	0,9270	0,9847	0,9811	1,0202	0,9846	1,2056	1,2121	1,3082	
	Flat cold	1,7497	1,8614	1,9165	2,0497	2,4871	3,0004	4,2545	8,9563	21,5586	48,2189	124,2614	
	Naive	1,2147	1,2755	1,3492	1,4489	1,4914	1,6094	1,7798	1,6007	1,7688	1,4692	1,5815	
	Pooled	1,0894	1,1947	1,2233	1,3487	1,4798	1,4441	1,6380	1,3887	1,5031	1,3316	1,5186	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find max depth	Flat	0,3230	0,2912	0,2790	0,2646	0,3183	0,4158	0,5273	0,8897	1,3375	2,3712	5,2438	
	Flat cached	0,3326	0,3017	0,2711	0,2670	0,3240	0,4133	0,5402	0,9830	1,3128	2,3660	5,2860	
	Flat cold	0,3041	0,2900	0,2688	0,2653	0,3208	0,4153	0,5510	0,8725	1,3985	2,2952	5,2430	
	Naive	1,0656	1,7313	2,9049	5,3740	11,3168	21,4087	45,7289	141,1752	287,1680	565,3177	1428,0569	
	Pooled	1,1165	1,9012	2,9478	5,4041	12,1066	22,3703	51,6289	129,5397	262,5438	511,7474	1308,0907	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find count	Flat	0,2792	0,2367	0,2332	0,2353	0,2359	0,2527	0,2615	0,2671	0,2953	0,2871	0,2918	
	Flat cached	0,3025	0,2441	0,2333	0,2335	0,2473	0,2484	0,2519	0,2706	0,2544	0,2669	0,2834	
	Flat cold	0,2731	0,2392	0,2419	0,2346	0,2410	0,2590	0,2444	0,2740	0,2402	0,2938	0,2735	
	Naive	1,0397	1,5690	2,6612	4,8488	10,2371	19,4268	40,7489	125,1119	257,9779	499,4174	1271,6451	
	Pooled	1,1030	1,7803	2,6890	4,9263	10,9384	20,2242	45,4333	116,7407	236,5704	455,6810	1167,0862	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Traveled depth average	Flat	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
	Flat cached	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
	Flat cold	2,8315	2,8536	2,8652	3,0831	3,4448	3,4052	4,2257	2,9152	3,7004	2,6932	2,9914	
