	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	31,0000	31,0000	7,0000	7,0000	6,0000	4,0000	

	Count	4	5	6	7	8	9	10	11	12	13	15	17	19	23	27	31	
Add	Flat	1,2412	0,9309	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	
	Flat cached	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,5515	1,5515	1,5515	1,5515	1,5515	1,5515	1,5515	1,5515	
	Flat cold	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,4133	3,7236	3,7236	3,7236	4,0339	
	Naive Pointer	2,7927	2,7927	2,7927	2,7927	2,7927	2,7927	2,7927	2,4824	2,7927	2,7927	2,7927	3,1030	3,1030	3,1030	3,1030	2,7927	
	Pooled Pointer	0,9309	0,9309	0,9309	0,9309	0,9309	0,9309	0,6206	0,9309	0,9309	0,9309	0,9309	1,2412	0,9309	0,9309	1,2412	1,2412	
	Naive Multiway	2,1721	2,4824	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	2,1721	
	Pooled Multiway	0,9309	1,2412	0,9309	1,2412	1,2412	0,9309	0,9309	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	

	Count	4	5	6	7	8	9	10	11	12	13	15	17	19	23	27	31	
Erase	Flat	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,9309	0,9309	0,9309	0,6206	0,9309	0,9309	0,9309	0,9309	
	Flat cached	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	0,9309	1,5515	0,9309	1,2412	1,2412	
	Flat cold	1,2412	0,9309	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	0,9309	1,2412	1,5515	1,5515	1,2412	1,2412	
	Naive Pointer	2,4824	2,4824	2,4824	2,4824	2,7927	2,4824	2,4824	2,4824	2,7927	3,1030	3,4133	3,1030	3,1030	3,1030	3,1030	3,1030	
	Pooled Pointer	0,9309	0,6206	0,9309	0,9309	0,9309	0,9309	0,9309	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	0,9309	1,5515	1,2412	
	Naive Multiway	2,7927	2,7927	2,7927	2,7927	2,7927	2,4824	2,1721	2,4824	2,4824	2,4824	2,7927	2,7927	2,7927	2,7927	2,7927	2,7927	
	Pooled Multiway	0,3103	0,6206	0,6206	1,2412	1,2412	0,6206	0,9309	1,2412	1,2412	1,5515	1,5515	1,5515	1,5515	1,5515	1,8618	1,8618	

	Count	4	5	6	7	8	9	10	11	12	13	15	17	19	23	27	31	
Move	Flat	1,2412	1,5515	1,5515	1,5515	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	
	Flat cached	1,2412	1,5515	1,5515	1,5515	1,5515	1,8618	1,5515	1,8618	1,8618	1,8618	1,8618	1,8618	2,4824	1,8618	2,4824	2,1721	
	Flat cold	3,1030	3,4133	3,4133	3,7236	3,7236	3,7236	3,7236	3,7236	3,7236	4,0339	3,7236	4,0339	4,0339	4,0339	4,0339	4,3442	
	Naive Pointer	1,5515	1,5515	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	2,4824	2,4824	2,4824	2,1721	2,4824	2,4824	2,4824	
	Pooled Pointer	1,2412	1,2412	1,5515	1,5515	1,2412	1,2412	1,2412	1,2412	1,5515	1,2412	1,2412	1,5515	1,2412	1,2412	1,5515	1,5515	
	Naive Multiway	0,9309	0,9309	0,9309	0,9309	0,9309	0,9309	1,2412	1,5515	1,5515	1,5515	1,5515	1,2412	1,5515	1,8618	1,8618	1,8618	
	Pooled Multiway	0,9309	1,2412	0,9309	1,2412	1,2412	1,2412	0,9309	1,5515	1,2412	1,2412	1,2412	1,5515	1,5515	1,8618	1,8618	1,8618	

	Count	4	5	6	7	8	9	10	11	12	13	15	17	19	23	27	31	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	1,2412	1,2412	1,2412	1,2412	1,2412	1,5515	1,5515	1,2412	1,2412	0,9309	0,9309	0,9309	0,9309	1,2412	1,5515	1,2412	
	Pooled Pointer	0,6206	0,6206	0,9309	0,9309	0,9309	0,9309	0,9309	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,5515	1,8618	
	Naive Multiway	0,6206	0,6206	0,6206	0,6206	0,6206	0,6206	1,2412	1,5515	1,5515	1,5515	1,2412	1,2412	1,2412	1,5515	1,5515	1,5515	
	Pooled Multiway	0,6206	0,9309	0,6206	1,2412	1,2412	0,9309	0,9309	1,2412	1,2412	1,2412	1,2412	1,5515	1,5515	1,5515	1,5515	1,5515	

	Count	4	5	6	7	8	9	10	11	12	13	15	17	19	23	27	31	
Leaf travel	Flat	1,5515	1,2412	1,2412	1,5515	1,5515	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,5515	1,5515	1,5515	1,5515	1,5515	
	Flat cached	1,2412	1,2412	1,2412	1,2412	1,2412	1,2412	1,5515	1,5515	1,8618	1,5515	1,8618	1,2412	1,8618	1,8618	1,8618	1,5515	
	Flat cold	3,7236	3,7236	3,7236	3,7236	3,7236	3,7236	3,7236	3,7236	3,7236	4,0339	3,7236	3,7236	4,0339	4,0339	4,0339	4,0339	
	Naive Pointer	1,8618	2,1721	1,8618	1,8618	1,8618	1,8618	1,8618	2,1721	1,8618	1,5515	1,2412	1,2412	1,5515	1,5515	1,8618	1,5515	
	Pooled Pointer	1,8618	1,8618	1,8618	1,5515	1,5515	1,5515	1,5515	1,8618	1,8618	1,5515	1,5515	1,8618	1,5515	1,5515	2,1721	2,1721	
	Naive Multiway	1,2412	1,5515	1,5515	1,5515	1,5515	1,2412	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	
	Pooled Multiway	1,5515	1,5515	1,5515	1,5515	1,5515	1,5515	1,5515	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	1,8618	

	Count	4	5	6	7	8	9	10	11	12	13	15	17	19	23	27	31	
