	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Add	Flat	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	1,5991	2,2387	3,1981	5,4368	11,1935	
	Flat cached	1,2793	1,2793	1,2793	1,2793	1,2793	1,5991	1,9189	2,5585	3,1981	5,4368	10,8737	
	Flat cold	3,8378	3,8378	4,1576	4,4774	5,7567	7,3557	10,2340	18,2294	31,3418	60,4448	153,5107	
	Naive Pointer	3,5180	3,5180	3,1981	3,5180	3,5180	3,5180	3,5180	3,5180	3,5180	3,5180	3,5180	
	Pooled Pointer	0,6396	0,6396	0,6396	0,6396	0,9594	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	
	Naive Multiway	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,5585	2,5585	2,8783	2,8783	
	Pooled Multiway	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Erase	Flat	0,6396	0,6396	0,9594	0,9594	0,9594	1,2793	1,9189	3,1981	5,1170	8,9548	21,1077	
	Flat cached	0,6396	0,6396	0,9594	0,9594	1,2793	1,2793	1,9189	3,1981	5,1170	8,9548	21,7473	
	Flat cold	0,6396	0,9594	0,9594	0,9594	1,2793	1,5991	1,9189	3,1981	5,1170	8,9548	21,4275	
	Naive Pointer	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	3,1981	2,8783	
	Pooled Pointer	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	
	Naive Multiway	2,5585	3,1981	3,5180	4,4774	7,6755	12,1529	22,3870	42,5353	60,1250	115,1330	258,4097	
	Pooled Multiway	0,6396	0,9594	1,2793	1,9189	3,5180	5,7567	9,9142	23,6662	44,4541	90,8272	227,3877	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Move	Flat	1,5991	1,5991	1,5991	1,9189	1,9189	1,9189	2,2387	2,8783	3,8378	5,4368	10,5539	
	Flat cached	1,5991	1,9189	1,9189	1,9189	2,2387	2,2387	2,5585	3,1981	3,8378	5,7567	10,8737	
	Flat cold	4,1576	4,4774	4,7972	5,1170	6,7161	9,2746	14,0718	29,1031	58,5260	119,2906	295,1883	
	Naive Pointer	1,2793	1,5991	2,8783	3,1981	3,1981	3,1981	3,1981	3,1981	3,1981	3,1981	3,1981	
	Pooled Pointer	0,9594	1,2793	1,2793	1,2793	1,2793	1,2793	1,2793	1,2793	1,2793	1,5991	1,5991	
	Naive Multiway	0,6396	1,2793	2,2387	3,8378	8,3152	16,3105	33,2607	55,9674	88,5885	153,5107	350,5161	
	Pooled Multiway	0,6396	0,9594	1,2793	2,2387	3,8378	6,7161	11,8331	27,5040	58,5260	123,7680	328,1291	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Nth Node	Flat	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,6396	0,9594	1,2793	1,9189	3,8378	6,7161	11,1935	21,4275	36,7786	67,4807	145,1955	
	Pooled Pointer	0,6396	0,9594	1,5991	2,2387	4,4774	8,9548	15,3511	30,7021	46,3730	98,5027	226,7481	
	Naive Multiway	0,3198	0,6396	0,9594	1,2793	2,8783	5,7567	10,5539	18,2294	32,9408	56,2873	106,4980	
