	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Add	Flat	1,2793	1,2793	1,2793	1,2793	1,2793	1,2793	1,9189	2,2387	3,1981	5,4368	11,1935	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	1,5991	1,5991	2,8783	1,5991	1,5991	1,5991	1,5991	1,9189	1,9189	2,5585	4,4774	7,3557	14,3916	27,8238	
	Flat cached	0,9594	0,9594	0,9594	0,9594	1,2793	1,2793	1,5991	2,2387	2,8783	5,1170	10,8737	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	1,2793	1,5991	2,8783	1,2793	1,5991	1,5991	1,5991	1,5991	1,9189	2,5585	3,8378	7,0359	14,0718	28,1436	
	Flat cold	3,8378	4,1576	4,1576	4,4774	5,7567	7,6755	10,2341	18,2294	31,9814	60,7647	157,9882	3,5180	3,5180	3,8378	3,8378	4,1576	4,4774	5,7567	7,3557	9,9142	15,6709	31,0220	4,4774	4,4774	4,7972	5,1170	7,0359	9,9142	14,3916	28,7833	54,6882	111,9350	276,6392	
	Naive Pointer	3,1981	3,5180	3,5180	3,5180	3,5180	3,5180	3,8378	3,8378	3,8378	3,8378	3,8378	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	3,8378	4,1576	4,4774	4,7972	4,7972	4,7972	4,7972	4,7972	4,7972	4,7972	4,7972	
	Pooled Pointer	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,9594	0,9594	0,9594	1,2793	1,2793	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,6396	0,6396	0,6396	0,6396	0,9594	1,2793	1,2793	1,2793	1,2793	1,2793	1,5991	3,8378	4,4774	4,4774	4,4774	
	Naive Multiway	2,5585	2,5585	2,5585	2,8783	2,8783	2,5585	2,5585	2,8783	2,8783	2,8783	2,8783	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	2,2387	3,1981	3,1981	3,1981	3,1981	3,5180	3,1981	3,1981	3,1981	3,1981	3,1981	3,1981	
	Pooled Multiway	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,3198	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Erase	Flat	0,6396	0,6396	0,9594	0,9594	1,2793	1,2793	1,9189	2,8783	5,4368	8,9548	21,7474	0,6396	0,6396	0,6396	0,6396	0,9594	0,9594	1,2793	1,2793	1,9189	2,5585	4,7972	0,9594	0,9594	1,2793	1,2793	1,5991	1,9189	2,5585	4,4774	8,9548	16,3105	36,4588	
	Flat cached	0,6396	0,9594	0,9594	0,9594	0,9594	1,5991	1,9189	2,8783	5,1170	8,6350	21,7474	0,6396	0,6396	0,6396	0,6396	0,9594	0,9594	0,9594	1,2793	1,9189	2,5585	4,7972	0,9594	1,2793	1,2793	1,5991	1,5991	1,9189	2,5585	4,4774	8,6350	15,3511	35,1796	
	Flat cold	0,6396	0,9594	0,9594	0,9594	1,2793	1,2793	1,9189	3,1981	5,1170	8,9548	21,7474	0,3198	0,6396	0,6396	0,6396	0,9594	0,9594	0,9594	1,5991	1,9189	2,8783	4,7972	0,9594	1,2793	1,2793	1,2793	1,9189	1,9189	2,5585	4,7972	8,6350	15,9907	35,4994	
	Naive Pointer	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	2,8783	3,1981	2,8783	1,9189	1,9189	1,9189	1,9189	1,9189	1,9189	1,9189	2,2387	2,2387	2,2387	2,2387	3,5180	4,1576	5,1170	5,7567	5,7567	6,0765	5,4368	6,3963	5,4368	5,7567	5,7567	
	Pooled Pointer	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,9594	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	0,6396	1,2793	1,5991	2,2387	2,2387	2,5585	2,2387	2,2387	2,5585	2,2387	2,2387	2,2387	
	Naive Multiway	2,5585	2,8783	3,5180	4,4774	9,2746	12,1529	16,3105	33,9003	56,2873	110,3359	262,8872	1,9189	2,2387	2,5585	2,8783	4,1576	4,7972	5,7567	12,1529	17,2700	32,9409	64,9223	2,8783	3,5180	4,4774	6,3963	14,0718	18,5492	25,5851	50,5306	87,6291	170,1411	435,5869	
	Pooled Multiway	0,3198	0,6396	0,9594	1,9189	3,5180	5,7567	10,2341	22,7068	45,0938	91,1470	224,8293	0,3198	0,3198	0,6396	0,9594	1,5991	2,5585	4,1576	9,5944	12,4728	24,3059	53,4090	0,6396	0,9594	1,5991	2,5585	4,4774	7,0359	13,4322	31,0220	65,8817	147,1145	383,1374	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Move	Flat	1,9189	1,9189	1,9189	1,9189	2,2387	2,2387	2,5585	3,1981	3,8378	5,7567	10,8737	0,6396	0,9594	1,5991	1,5991	1,9189	1,9189	1,9189	1,9189	2,2387	2,5585	3,1981	2,2387	2,2387	2,5585	2,5585	2,8783	2,8783	3,5180	5,1170	7,6755	13,4322	27,8238	
	Flat cached	1,5991	1,9189	1,9189	1,9189	1,9189	2,2387	2,5585	2,8783	3,8378	5,7567	10,8737	0,6396	0,9594	1,5991	1,5991	1,5991	1,9189	1,9189	1,9189	2,2387	2,5585	3,1981	2,2387	2,2387	2,5585	2,5585	2,8783	2,8783	3,5180	4,7972	7,6755	13,4322	28,1436	
	Flat cold	4,1576	4,4774	5,1170	5,4368	7,0359	9,5944	14,3916	30,0625	60,1251	120,8897	301,2649	3,1981	3,8378	4,4774	5,1170	6,3963	8,9548	13,7520	28,4635	56,9269	114,4935	285,9138	4,7972	5,1170	5,4368	5,7567	7,6755	10,5539	15,3511	33,9003	70,9987	136,2408	332,6067	
